contract_id,contract_title,summary,termination_clause,confidentiality_clause,liability_clause
CUAD_014,PfHospitalityGroupInc_20150923_10-12G_EX-10.1_9266710_EX-10.1_Franchise Agreement3,"This Non-Disclosure and Non-Competition Agreement is between a ""Pizza Fusion"" franchisee and its personnel. Its purpose is to protect the franchisor’s proprietary operating system and trade secrets by restricting employees from disclosing confidential information or engaging in competitive activities.

Under the agreement, the employee is prohibited from using confidential information for any purpose other than the franchised business. Furthermore, the employee must not operate, consult for, or be employed by any competing pizza business during their employment. Post-employment, these restrictions apply for two years within a three-mile radius of any active or under-construction ""Pizza Fusion"" location.

Breaching these covenants constitutes irreparable harm, entitling the franchisor to seek injunctive relief. The employee is liable for all associated court costs and legal fees. If any provision is deemed unenforceable, courts may reform the contract to the maximum extent legally permissible.",Not found in this contract,"Member shall not, during the term of the Franchise Agreement or thereafter, communicate, divulge or use, for any purpose other than the operation of the Franchised Business, any confidential information, knowledge, trade secrets or know-how which may be communicated to Member or which Member may learn by virtue of Member's relationship with Franchisee. All information, knowledge and know-how relating to Franchisor, its business plans, Franchised Businesses, or the System (""Confidential Information"") is deemed confidential, except for information that Member can demonstrate came to Member's attention by lawful means prior to disclosure to Member; or which, at the time of the disclosure to Member, had become a part of the public domain.","Member acknowledges that any failure to comply with the requirements of this Agreement will cause Franchisor irreparable injury, and Member agrees to pay all court costs and reasonable attorney's fees incurred by Franchisor in obtaining specific performance of, or an injunction against violation of, the requirements of this Agreement."
CUAD_015,CerenceInc_20191002_8-K_EX-10.4_11827494_EX-10.4_Intellectual Property Agreement,"This Intellectual Property Agreement between Nuance Communications and Cerence Inc. governs the allocation, licensing, and management of intellectual property rights following the separation and spin-off of Cerence. Its primary purpose is to formalize the transfer of ownership of specified IP assets and establish mutual, perpetual, non-exclusive cross-licensing arrangements for patents, technology, and data required for each party's respective business fields.

Each party is obligated to facilitate the formal recordation of assigned IP rights and must maintain strict confidentiality regarding shared technical information. Key risks include a comprehensive disclaimer of warranties, where assets are provided on an ""as is"" basis, placing all operational and legal risks on the licensees. Furthermore, the agreement imposes strict limitations on liability, excluding indirect or consequential damages, and prohibits the unauthorized transfer of rights or reverse engineering of shared technology assets.","Section 9.01. Termination by Both Parties. Subject to Section 9.02, this Agreement may not be terminated except by an agreement in writing signed by a duly authorized officer of each of the Parties. Section 9.02. Termination prior to the Distribution. This Agreement may be terminated by Nuance at any time, in its sole discretion, prior to the Distribution; provided, however, that this Agreement shall automatically terminate upon the termination of the Separation Agreement in accordance with its terms. Section 9.03. Effect of Termination; Survival. In the event of any termination of this Agreement prior to the Distribution, neither Party (nor any member of their Group or any of their respective directors or officers) shall have any Liability or further obligation to the other Party or any member of its Group under this Agreement. Except with respect to termination of the Agreement under Section 9.02, notwithstanding anything in this Agreement to the contrary, ARTICLE I, ARTICLE VI, ARTICLE VII, this Section 9.03 and ARTICLE XI shall survive any termination of this Agreement.","Section 6.01. Confidentiality. Without limiting Section 6.02, all confidential information of a Party disclosed to the other Party under this Agreement shall be deemed confidential and proprietary information of the disclosing Party, shall be subject to the provisions of Section 7.09 of the Separation Agreement and may be used by the Receiving Party pursuant to this Agreement for the sole and express purpose of effecting the licenses granted herein. Section 6.02. Disclosure of Confidential Technical Information. Except as expressly permitted by this Agreement, including in Section 3.02(b)(vi) or Section 4.02(b)(vi), the Receiving Party shall not, and shall not permit any other Person to, disclose any Confidential Technical Information to any Person without prior written consent of the Disclosing Party, except that the Receiving Party may disclose the Confidential Technical Information solely to those employees and contractors of the Receiving Party who have a need to know the Confidential Technical Information in connection with designing, developing, distributing, marketing, testing and supporting any products or services of the Receiving Party within the Nuance Field of Use or SpinCo Field of Use, as applicable (collectively, the ""Permitted Recipients""); provided, that prior to such disclosure the Receiving Party shall notify each such Permitted Recipient in writing of the use and disclosure restrictions set forth in this Agreement and ensure that such Permitted Recipient is bound by confidentiality obligations with respect thereto.","Section 7.01. Limitation on Liability. Without limiting the terms set forth in Section 6.09 of the Separation Agreement, none of Nuance, SpinCo or any other member of either Group shall in any event have any Liability to the other or to any other member of the other's Group under this Agreement for any indirect, special, punitive or consequential damages, whether or not caused by or resulting from negligence or breach of obligations hereunder and whether or not informed of the possibility of the existence of such damages. Section 7.02. Disclaimer of Representations and Warranties. Each of Nuance (on behalf of itself and each other member of the Nuance Group) and SpinCo (on behalf of itself and each other member of the SpinCo Group) understands and agrees that, except as expressly set forth in this Agreement, no Party is representing or warranting in any way, including any implied warranties of merchantability, fitness for a particular purpose, title, registerability, allowability, enforceability or non-infringement, as to any Intellectual Property Rights licensed hereunder... Except as may expressly be set forth herein, any such Intellectual Property Rights are being licensed on an ""as is,"" ""where is"" basis and the respective licensees shall bear the economic and legal risks related to the use of the Nuance IP in the SpinCo Business or the SpinCo IP in the Nuance Business, as applicable."
CUAD_016,ThriventVariableInsuranceAccountB_20190701_N-6_EX-99.D(IV)_11720968_EX-99.D(IV)_Endorsement Agreement,"This endorsement serves as a legal amendment confirming that Thrivent Financial for Lutherans has assumed all assets, liabilities, and obligations of the dissolved Thrivent Life Insurance Company. The document formally updates the contract entity, definitions, and administrative contact information, establishing the agreement as a policy with a fraternal benefit society. Regarding key obligations, the society assumes the role of the insurer, while the policyholder retains membership rights as defined by the society's bylaws. A significant risk involves the ""Maintenance of Solvency"" provision: if the society’s financial solvency becomes impaired, the policyholder may be mandated to pay a proportional share of the deficiency. Failure to pay within 60 days results in this amount being recorded as contract indebtedness, accruing interest at 5% annually. Additionally, while the contract is eligible for dividends, none are currently expected to be credited.",Not found in this contract,Not found in this contract,Not found in this contract
CUAD_017,ReynoldsConsumerProductsInc_20191115_S-1_EX-10.18_11896469_EX-10.18_Supply Agreement,"This Master Supply Agreement between Reynolds Consumer Products LLC (Seller) and Pactiv LLC (Buyer), effective November 1, 2019, establishes a framework for the sale and purchase of products. The agreement is non-exclusive; specific product types, quantities, and pricing are defined only through signed ""Purchase Schedules."" Both parties are obligated to maintain specific insurance coverage, comply with established operating procedures, and safeguard confidential information. 

Regarding risks and penalties, the agreement includes mutual indemnification for third-party claims arising from breaches, negligence, or intellectual property infringement. Buyer faces a 2% monthly late fee for overdue payments, and both parties waive rights to consequential or punitive damages. While the contract allows for force majeure events, it limits liability strictly to direct damages. Disputes must follow a mandatory process of good-faith negotiation, then mediation, before litigation in Illinois courts.","1. Term. The ""Term"" of this Agreement will commence on the Effective Date and will end on the earlier of: (a) the first anniversary of the expiration date of the last Purchase Schedule (as defined in this next Section); (b) a termination date elected by a Party in a written notice delivered to the other Party any time after the expiration of the last Purchase Schedule; or (c) a termination date elected by a Party in a written notice delivered to the other Party as provided in Subsection 11(d) of this Agreement.","10. Confidential Information and Other Intellectual Property. a. The Parties anticipate exchanging Confidential Information (as defined in in the next Subsection) over the Term of this Agreement for the purpose of negotiating and entering into Purchase Schedules and amendments to this Agreement, transacting business with one in accordance with this Agreement and exercising their rights and performing their obligations under this Agreement (collectively referred to as the ""Authorized Purpose""). b. The phrase ""Confidential Information"" means information meeting all of the following criteria: 1) The information is a trade secret or other non-public, proprietary information owned by a Party or its direct and indirect subsidiaries under Applicable Law... h. The rights and obligations of the Parties under this Section with regards to disclosed Confidential Information will continue: (1) Until the earlier of (i) sixty (60) months from the date of disclosure to a Receiving Party or (ii) the date such information ceases to be considered Confidential Information under this Agreement, for Confidential Information that is not a trade secret of a Disclosing Party under Applicable Law; and (2) Until Confidential Information that is a trade secret of a Disclosing Party under Applicable Law ceases to be a trade secret of the Disclosing Party under Applicable Law.","9. Limitations on Liability. a. Disclaimer of Representations and Warranties... b. Exclusion of Indirect Damages; Waiver of Claim for Insured Damage or Loss. A Party that breaches this Agreement will only be liable to the other Party for direct damages arising from the breach. Each Party waives any right to recover consequential, incidental, indirect, exemplary, punitive or any other types of indirect damages from the other Party for a breach of this Agreement. Notwithstanding the preceding sentences, this Subsection will not limit the liability of a Party for any amount or type of damages for: (1) the defense and indemnification of an Indemnified Claim on which the Party is the Indemnifying Party; (2) infringement by the Party on the intellectual property of the other Party; (3) the unauthorized disclosure or use by the Party of the Confidential Information of the other Party; (4) payment or reimbursement of any amount expressly required to be paid or reimbursed by the Party under a provision of this Agreement; or (5) the intentional misconduct of the Party in violation of Applicable Laws."
CUAD_018,IntegrityFunds_20200121_485BPOS_EX-99.E UNDR CONTR_11948727_EX-99.E UNDR CONTR_Service Agreement,"This Distribution and Services Agreement establishes Integrity Funds Distributor, LLC (“Integrity”) as the principal underwriter for the Integrity Short Term Government Fund. The purpose is to formalize the distribution of Fund shares and related services.

Integrity is obligated to solicit orders for shares, conduct promotional activities, maintain compliance with securities laws, and provide shareholder support. The Fund must provide accurate registration documentation and necessary financial information. Integrity assumes responsibility for its own distribution expenses, while the Fund compensates Integrity through sales price excesses and fees authorized under the Shareholder Services Plan.

Risks include potential liabilities arising from inaccuracies in registration statements or unauthorized marketing. The contract contains robust reciprocal indemnification clauses for such events. Either party may terminate the agreement via written notice, and liability is limited to the Fund’s assets, excluding personal liability for trustees or officers.","If the Fund shall not propose such amendment or amendments and/or supplement or supplements within fifteen days after receipt by the Fund of a written request from Integrity to do so, Integrity may, at its option, terminate this Agreement. This Agreement shall continue until January 18, 2022, and thereafter shall continue automatically for successive annual periods ending on January 18th of each year, provided such continuance is specifically approved at least annually by (a) the Fund's Board of Trustees and (b) a vote of a majority (as defined in the 1940 Act) of the Fund's Trustees who are not interested persons (as defined in the 1940 Act) of the Fund and who have no direct or indirect financial interest in the operation of the Plan, in this Agreement, or any agreement related to the Plan (the ""Qualified Trustees""), by vote cast in person at a meeting called for the purpose of voting on such approval. This Agreement is terminable with respect to the Fund, without penalty, (a) on 60 days' written notice, by vote of a majority of the Qualified Trustees or by vote of a majority (as defined in the 1940 Act) of the outstanding voting securities of the Fund or (b) on 90 days' written notice by Integrity. This Agreement will also terminate automatically in the event of its assignment (as defined in the 1940 Act).",Not found in this contract,"The Fund agrees to indemnify, defend, and hold Integrity, its several officers and governors, and any person who controls Integrity within the meaning of Section 15 of the 1933 Act, free and harmless from and against any and all claims, demands, liabilities, and expenses (including the cost of investigating or defending such claims, demands, or liabilities and any counsel fees incurred in connection therewith) which Integrity, its officers and governors, or any such controlling person may incur under the 1933 Act, the 1940 Act, or common law or otherwise, arising out of or based upon any untrue statement or alleged untrue statement of a material fact contained in any registration statement, any prospectus, or any statement of additional information, or arising out of or based upon any omission or alleged omission to state a material fact required to be stated in any registration statement, any prospectus, or any statement of additional information, or necessary to make the statements in any of them not misleading; provided, however, that the Fund's agreement to indemnify Integrity, its officers or governors, and any such controlling person shall not be deemed to cover any claims, demands, liabilities, or expenses arising out of or based upon any statements or representations made by Integrity or its representatives or agents other than such statements and representations as are contained in any registration statement, prospectus, or statement of additional information and in such financial and other statements as are furnished to Integrity pursuant to paragraph 2.2 hereof; and further provided that the Fund's agreement to indemnify Integrity and the Fund's representations and warranties hereinbefore set forth in paragraph 3 shall not be deemed to cover any liability to the Fund or its shareholders to which Integrity would otherwise be subject by reason of willful misfeasance, bad faith, or gross negligence in the performance of its duties, or by reason of Integrity's reckless disregard of its obligations and duties under this Agreement. Integrity agrees to indemnify, defend, and hold the Fund, its several officers and trustees, and any person who controls the Fund within the meaning of Section 15 of the 1933 Act, free and harmless from and against any and all claims, demands, liabilities, and expenses (including the costs of investigating or defending such claims, demands, or liabilities and any counsel fees incurred in connection therewith) that the Fund, its officers or trustees, or any such controlling person may incur under the 1933 Act, the 1940 Act, or common law or otherwise, but only to the extent that such liability or expense incurred by the Fund, its officers or trustees, or such controlling person resulting from such claims or demands shall arise out of or be based upon (a) any unauthorized sales literature, advertisements, information, statements, or representations or (b) any untrue or alleged untrue statement of a material fact contained in information furnished in writing by Integrity to the Fund and used in the answers to any of the items of the registration statement or in the corresponding statements made in the prospectus or statement of additional information, or shall arise out of or be based upon any omission or alleged omission to state a material fact in connection with such information furnished in writing by Integrity to the Fund and required to be stated in such answers or necessary to make such information not misleading."
CUAD_019,PREMIERBIOMEDICALINC_05_14_2020-EX-10.2-INTELLECTUAL PROPERTY AGREEMENT,"This Intellectual Property Agreement establishes a collaboration between Marv Enterprises, Premier Biomedical, and Technology Health, Inc. (THI) to develop and commercialize COVID-19 treatment technologies. The contract facilitates the assignment of exclusive licensing rights for specific patents and applications from Premier to THI, while Marv retains ownership of the underlying intellectual property.

THI is obligated to pay various license fees, reimburse intellectual property prosecution costs, and provide quarterly royalty payments of 5% on sales and services derived from the licensed products. Additionally, THI must fund specific development milestones for the joint venture. Failure to meet these financial obligations triggers a penalty: the reversion of exclusive license rights back to Premier. The agreement also enforces strict confidentiality requirements regarding proprietary information and stipulates that any overdue payments incur interest charges based on the prime rate. All legal disputes are subject to Pennsylvania law.","2. (c) 5. Reversion of License. If a reversion occurs under this Article, the license in that country in which reversion has occurred will be terminated, and THI shall have no further right in the Application or Patent for that country. The right shall revert to Marv who will then have the right to pursue protection for the reverted Application or Patent. Marv has no further duty to THI for a reverted Application or Patent. 2. (e) If THI does not make the obligatory payments as stated in 2(b) by the dates stated, the Exclusive License will revert back to Premier. 3. (e) If THI does not make the obligatory payments as stated in 3(a) by the dates stated, the Exclusive License will revert back to Premier, provided, however, that in such event, THI would still be entitled to a proportionate interest in any Covid-19 Licensed Products, such portion being equal to a fraction, the numerator of which shall be the actual amount paid and the denominator of which shall be $2,000,000.","7. CONFIDENTIALITY. Each Party agrees to hold in confidence confidential information acquired in the course of this relationship with the other Parties and their associates. Each Party agrees to refrain from, either during period of this Agreement or at any other time thereafter, disclosing, using or disseminating such confidential information, for its or another's benefit, in any way acquired in the course of any association arising out of this Agreement. For purposes of this Agreement, confidential information shall include contacts and introductions to third parties and information relating thereto. Confidential information, knowledge or data of a Party and/or its affiliates shall not include any information which is or becomes generally available to the public other than as a result of a disclosure by such Party or its representatives. Confidential information should further include: all information (in whatever form and whether or not marked or otherwise identified as confidential), including financial statements, business plans or records, concepts, marketing studies, projections, sales or pricing information, customer or supplier information, agreements with third parties, Intellectual Property (as defined below) or other data provided by or on behalf of the Disclosing Party to the Recipient and (ii) all notes, analyses, compilations, studies, interpretations or other material prepared by the Recipient or its Representatives which contain or reflect or are based upon, in whole or in part, information furnished by the Disclosing Party pursuant to this Agreement. ""Confidential Information"" does not include information which (a) is obtained by the Recipient from a third party who is not known to Recipient to be prohibited from transmitting such information to the Recipient, or (b) was already in the Recipient's possession prior to its entry into this Agreement and which is not subject to any restrictions which would prohibit its disclosure to the Recipient in connection with the parties' evaluation of the Transaction or (c) is or becomes generally available to the public other than as a result of a breach of any confidentiality restrictions to the Recipient.",Not found in this contract
CUAD_020,"SIBANNAC,INC_12_04_2017-EX-2.1-Strategic Alliance Agreement","This Strategic Alliance Agreement establishes a partnership between Bravatek Solutions, Inc. and Sibannac, Inc. to promote Sibannac’s patented Air Cylinder Wheel technology to government and non-government entities. Bravatek acts as a non-exclusive project sales lead finder, responsible for marketing, pipeline reporting, and client engagement. Sibannac is obligated to support these efforts by providing technical documentation, co-branded materials, and timely responses. Both parties commit to joint strategy development and utilizing each other as preferred vendors. Bravatek earns a 10–20% lead-finder fee on project revenues. Risks and liabilities are addressed through mutual indemnification for negligence, intentional misconduct, or contractual breaches. Furthermore, the parties are bound by a five-year confidentiality provision regarding sensitive business and technical information. The agreement spans an initial twelve-month term, with automatic renewal unless terminated with ninety days' written notice, and is governed by the laws of Texas.","The term of this Agreement is twelve (12) months from the date hereof, and will be automatically renewed for one (1) additional twelve month period unless either party shall notify the other in writing of its intention not to renew. Such notice must be given ninety (90) days prior to expiration of the original term. This Agreement may also be terminated by either party upon ninety (90) days written notice.","""Confidential information"" shall mean any and all technical and non-technical information, documents and materials related to client projects of party and products, services and business of each of the parties. COMPANY and Bravatek agree to maintain in strict confidence and not to disclose or disseminate, or to use for any purposes other than performance of the projects, the Confidential Information disclosed. The obligation of non-disclosure shall not apply to the following: a. Information at or after such time that is publicly available through no fault of either party b. Information at or after such time that is disclosed to either party by a third party entitled to disclose such information c. Information which is required by law to be disclosed to federal, state or local authorities. For a period of five (5) years after termination of this Agreement, the parties shall treat as confidential all information and take every reasonable precaution and use all reasonable efforts to prevent the unauthorized disclosure of the same.","COMPANY shall indemnify Bravatek, its directors, officers and employees, for any and all damages, costs, expenses, and other liabilities, including reasonable attorney's fees and court costs incurred in connection with any third-party claim, action or proceeding arising from the negligence or intentional misconduct of COMPANY or breach of COMPANY of any of its obligations under this Agreement. Bravatek shall indemnify COMPANY, its directors, officers and employees, for any and all damages, costs, expenses, and other liabilities, including reasonable attorney's fees and court costs, incurred in connection with any third-party claim, action or proceeding arising from the negligence or intentional misconduct of Bravatek or breach of Bravatek of any of its obligations under this Agreement."
CUAD_021,INTRICONCORP_03_10_2009-EX-10.22-Strategic Alliance Agreement,"This Strategic Alliance Agreement between IntriCon Corporation and Dynamic Hearing Pty Ltd establishes a framework for collaborating on digital signal processing (DSP) technology within the hearing health, assisted listening, and professional communication markets. 

The agreement grants IntriCon a license to use Dynamic Hearing’s proprietary technology and software for manufacturing and selling products. IntriCon is obligated to pay annual technology access fees and escalating minimum payments to maintain exclusivity for hearing aids, alongside per-unit royalties based on sales volume. 

The contract contains significant financial risks, including strict payment deadlines and auditing requirements. Both parties are subject to confidentiality obligations and broad indemnification clauses covering third-party infringements or breaches. Dynamic Hearing limits its aggregate liability to $5 million, and both parties exclude consequential damages. The agreement is governed by the laws of Victoria, Australia, and remains in effect for five years.","11.1 Notwithstanding any provision to the contrary in this Agreement, this Agreement may not be terminated by either party prior to two years from the commencement date other than for the failure to pay the first and second yearly minimum payments as defined in section 4.3. 11.2 Subject to the provisions of 11.1, either party may terminate this Agreement immediately by written notice to the other party if: (a) the other party breaches a material term of this Agreement (unless the breach is capable of remedy, in which case if the other party fails to remedy the breach within 30 days after being required by written notice to do so). 11.5 (a) Subject to the provisions of 11.1, IntriCon may terminate this Agreement upon three (3) months written notice to Dynamic Hearing, such notice stating that IntriCon will cease making payments, either minimum or second component payments or both, and such termination shall not be considered a breach of this Agreement. (b) Subject to the provisions of 11.1, Dynamic Hearing may terminate this Agreement upon three (3) months written notice to IntriCon of such termination.","7.1 Each party must: (a) not disclose any Confidential Information to any person, except in confidence as permitted by this Agreement; (b) not use any Confidential Information except as reasonably necessary for the purpose of putting this Agreement into effect (Permitted Purpose); (c) restrict access to Confidential Information to those of its employees and officers for whom such access is not reasonably necessary for the Permitted Purpose; (d) ensure that its employees and officers comply with this Agreement; and (e) not reproduce or record, or permit or cause any reproduction or recording of, any Confidential Information except to the extent reasonably necessary for the Permitted Purpose. 7.2 This Agreement is confidential and each party must not disclose any part of this Agreement to any person without the prior written consent of the other party.","10.3 To the maximum extent permitted by law and notwithstanding anything to the contrary in this Agreement: (a) all terms and warranties expressed or implied by any legislation, the common law, equity, trade, custom or usage or otherwise in relation to this Agreement are expressly excluded; (b) Dynamic Hearing is not liable in any way to IntriCon for any indirect, consequential, third party, special or incidental harm, liability, expense, cost, loss or damage, loss of profits, loss of data, exemplary damages or any other indirect commercial or economic loss of any kind whatsoever incurred by IntriCon whether in negligence, tort, equity, contract or otherwise, arising in connection with this Agreement; (c) IntriCon is not liable in any way to Dynamic Hearing for any indirect, consequential, third party, special or incidental harm, liability, expense, cost, loss or damage, loss of profits, loss of data, exemplary damages or any other indirect commercial or economic loss of any kind whatsoever incurred by Dynamic Hearing whether in negligence, tort, equity, contract or otherwise, arising in connection with this Agreement; (d) Dynamic Hearing's aggregate liability to IntriCon for direct loss and damages and all other liability not described herein arising in connection with this Agreement whether in negligence, tort, equity, contract or otherwise, is limited to payment of damages recoverable at law or equity up to a maximum of (and, for the sake of clarity must not exceed) $5m"
CUAD_022,BONTONSTORESINC_04_20_2018-EX-99.3-AGENCY AGREEMENT,"This Agency Agreement, effective April 18, 2018, formalizes the liquidation of assets for The Bon-Ton Stores, Inc. and its affiliated debtors (""Merchant""). The Agent (GA Retail, Inc. and Tiger Capital Group, LLC) and Notes Trustee are appointed to conduct ""going out of business"" sales and dispose of inventory, fixtures, intellectual property, and real estate leases.

Merchant’s obligations include providing access to facilities, managing payroll, and maintaining assets. The Agent is responsible for conducting sales, funding specific wind-down expenses, and paying a cash purchase price. 

The agreement limits the Merchant’s liabilities, while the Agent assumes specific costs under a ""Wind-Down Budget"" and maintains superpriority administrative claims. Notable risks include potential conflicts over lease assignments, limited liability protections for the Agent regarding employee claims, and the forfeiture of the $32.7 million deposit if the deal fails due to the Agent's material, non-excusable breach.","Agent may, in its discretion, earlier terminate the GOB Sale on a Store-by- Store basis upon not less than seven (7) days' prior written notice (a ""Vacate Notice"") to Merchant (the ""Vacate Date""), provided, that it being understood that Agent's obligations to pay all Expenses, including Occupancy Expenses, for each Store subject to a Vacate Notice shall continue until the applicable Vacate Date, provided, however, that, with respect to Occupancy Expenses, Agent's obligations to pay all Occupancy Expenses for each Store shall continue until the last day of the calendar month in which the Vacate Date occurs for such Store.",Not found in this contract,PURCHASER SHALL NOT BE LIABLE FOR ANY CLAIMS AGAINST MERCHANT EXCEPT AS EXPRESSLY PROVIDED FOR IN THIS AGREEMENT.
CUAD_023,"ON2TECHNOLOGIES,INC_11_17_2006-EX-10.3-SUPPORT AND MAINTENANCE AGREEMENT","This Support and Maintenance Agreement between On2 Technologies and Wildform facilitates the transition of assets purchased under a separate Asset Purchase Agreement. Wildform is obligated to provide transition services, including software development (customization and integration of Flix Software), technical support, and marketing assistance over an eighteen-month term. On2 must provide necessary technology and compensate Wildform through monthly cash payments totaling $160,000, plus 280,000 shares of On2 common stock.

Key risks include strict confidentiality requirements, with potential for injunctive relief for breaches. Deliverables are provided ""as-is,"" limiting warranties. If Wildform fails to meet specific delivery deadlines or cure material breaches within thirty days, it faces contractual penalties. Both parties are subject to indemnification obligations for breaches of confidentiality, warranties, or intellectual property rights. The agreement is governed by New York law, requiring mediation before pursuing formal court action for most disputes.","9.2 Termination. Either of Wildform or On2 may terminate this Agreement if the other Party is in material breach of this Agreement and fails to cure such breach within thirty (30) days after written notice. Either of On2 or Wildform may terminate this Agreement if the other Party becomes bankrupt or a receiver is appointed for a substantial part of its assets or business, or any order is made approving a petition or answer seeking reorganization under any applicable bankruptcy law.","5.3 Receiving Party's Duty of Care. Receiving Party shall protect the Confidential Information from unauthorized use or disclosure by exercising the same degree of care that Receiving Party uses with respect to information of its own of a similar nature, but in no event less than reasonable care, until five (5) years from the later of the Effective Date or the date of receipt of such Confidential Information. Notwithstanding the prior sentence, with respect to Receiving Party's employees, Receiving Party shall only disclose Confidential Information to a Receiving Party employee who has a need to know such Confidential Information for purposes of this Agreement or any customer sublicense and is informed of the confidential nature of the Confidential Information. The foregoing notwithstanding, each Party shall be liable for any failure by such Party's employees, agents or representatives to comply with the provisions of this Section 5 as fully as if such employees, agents or representatives were a party to this Agreement.","6.3 No Warranty. EXCEPT AS PROVIDED IN SUBSECTIONS 6.1 AND 6.2 ABOVE, THE DELIVERABLES AND INCORPORATED TECHNOLOGY ARE PROVIDED ""AS-IS"" WITHOUT WARRANTY OF ANY KIND AND BOTH PARTIES EXPRESSLY AGREE AND ACKNOWLEDGE THAT THE DELIVERABLES AND INCORPORATED TECHNOLOGY ARE BEING PROVIDED WITHOUT ANY REPRESENTATIONS, WARRANTIES OR CONDITIONS WHETHER EXPRESS, IMPLIED, STATUTORY, ARISING OUT OF A COURSE OF DEALING OR USAGE OF TRADE OR OTHERWISE INCLUDING, BUT NOT LIMITED TO, ANY IMPLIED WARRANTIES OR CONDITIONS OF MERCHANTABILITY, MERCHANTABLE QUALITY, FITNESS OR ADEQUACY FOR ANY PARTICULAR PURPOSE OR USE, QUALITY, PRODUCTIVENESS, CAPACITY, OR THAT THE OPERATION OF THE DELIVERABLES OR INCORPORTED TECHNOLOGY WILL BE ERROR-FREE. NO ORAL OR WRITTEN INFORMATION OR ADVICE GIVEN BY A PARTY, ITS DIRECTORS, OFFICERS, EMPLOYEES, LICENSORS, SUPPLIERS, AGENTS, OR TO ANYONE ELSE WHO HAS BEEN INVOLVED IN THE CREATION, PRODUCTION, LICENSING, SUBLICENSING, SUPPLY OR DELIVERY OF THE DELIVERABLES OR INCORPORATED TECHNOLOGY WILL CREATE A REPRESENTATION, CONDITION, OR WARRANTY AND NEITHER PARTY MAY NOT RELY ON SUCH INFORMATION OR ADVICE."
CUAD_024,Freecook_20180605_S-1_EX-10.3_11233807_EX-10.3_Hosting Agreement,"This Website Design, Development, and Hosting Agreement outlines a professional service contract between Natalija Tunevic (Client) and Mitchell Vitalis (Company). The purpose is to design, develop, and host a website for the brand FreeCook for a total contract price of $5,000. Key obligations require the Client to provide proofread content in specific electronic formats and pay in two installments. The Company is responsible for delivering the project within a twelve-week timeframe, subject to defined scope requirements. Risks and penalties include additional charges for ""Change Orders"" involving revisions beyond two rounds, and surcharges for rush work or off-hours service requested due to Client delays. Furthermore, the Company retains the right to modify or cease customer service at its discretion without liability, and the Client grants the Company a limited license to utilize the Client’s branding for marketing and promotional purposes.",Not found in this contract,Not found in this contract,Company at its sole discretion may at any time alter or cease providing the Customer Service which it has agreed to provide to Client relating to Client Website pursuant to this Agreement without any liability to Company.
CUAD_025,OPERALTD_04_30_2020-EX-4.14-SERVICE AGREEMENT,"This Service Agreement, effective April 1, 2019, establishes a professional relationship between PC Financial Services Private Limited (an Indian NBFC) and Mobimagic Co., Ltd. (a Chinese corporation). The contract governs the provision of system platform maintenance and data processing services to support PC Financial’s small loan operations in India.

Mobimagic is obligated to provide professional services and maintain data integrity, while PC Financial must pay a monthly fee of $970,000. Both parties are bound by strict confidentiality obligations, valid for five years post-termination.

Regarding liabilities, both parties must indemnify each other against losses resulting from breaches of the agreement or applicable laws. Total cumulative liability is capped at the aggregate fees paid for services. Either party may terminate the agreement for uncured material breaches or insolvency. Disputes are subject to mandatory arbitration in New Delhi under Indian law.","9.2 This Agreement may be terminated by either Party prior to the end of the Service Period if the other Party is in material breach of any tem, or condition of this Agreement and such breach la not remedied for a period of thirty (30) days after the Party in breach has been notified In writing of such breach by the other Party. 9.3 This Agreement terminates automatically, with no further act or action of either Party, if: (a) so required by applicable law or regulations; or (b) a receiver is appointed for a Party or its property, a Party makes an assignment for the benefit of its creditors, goes bankrupt or is liquidated or dissolved.","7. CONFIDENTIALITY & PUBLICITY Neither Party shall disclose the other Party's Confidential Information to any third party or use Confidential Information for any purpose other than fur the proper fulfillment of this Agreement. Each Party undertakes to safeguard the Confidential Information of the other Party with the same degree of care as it would apply to Its own Confidential Information and, in any case, with no less than reasonable care. Such obligations will survive the expiration of this Agreement for a period of five (5) years.","8.3 Neither Party shall be liable to the other Party in contract, tort or otherwise, whatever the cause, for any loss of profit, business or goodwill or any indirect, incidental or consequential costs, damages or expenses of any kind, except for such loss attributable to breach of confidentiality. 10.2 IN NO EVENT WILL EITHER PARTY BE LIABLE FOR ANY CONSEQUENTIAL, INDIRECT, EXEMPLARY, SPECIAL, OR INCIDENTAL DAMAGES ARISING FROM OR RELATING TO THIS AGREEMENT. NEITHER PARTIES' TOTAL CUMULATIVE LIABILITY IN CONNECTION WITH THIS AGREEMENT, WHETHER IN AGREEMENT OR TORT OR OTHERWISE, WILL NOT EXCEED THE AGGREGATE AMOUNT OF FEES AND EXPENSES OWED BY PC FINANCIAL TO MOBIMAGIC FOR SERVICES PERFORMED UNDER THIS AGREEMENT."
